"Subject.Nr" "In_sample" "Datum" "Subject" "Geb." "Age_days" "Age_years" "Dyad" "Condition" "Need" "Side" "Gender" "helped" "Hip"
"22" 42 "YES" 42795 245072 41293 1502 4.112251882 21 "inc" "needy" "left" "female" "not-helped" -0.0437348404761905
"23" 43 "YES" 42795 243539 41201 1594 4.364134155 22 "con" "needy" "left" "male" "helped" -0.00344326785714289
"24" 44 "YES" 42795 251002 41292 1503 4.114989733 22 "con" "non-needy" "right" "male" "not-helped" -0.0145857357142858
"25" 45 "YES" 42796 245505 41324 1472 4.030116359 23 "con" "needy" "right" "male" "helped" -0.00918086309523809
"26" 46 "YES" 42796 252128 41172 1624 4.446269678 23 "con" "non-needy" "left" "male" "not-helped" -0.00566450595238095
"27" 47 "YES" 42796 252075 41287 1509 4.131416838 24 "con" "non-needy" "left" "female" "not-helped" NA
"28" 48 "YES" 42796 252130 41218 1578 4.320328542 24 "con" "needy" "right" "female" "helped" 0.00121110714285714
"29" 49 "YES" 42802 251575 41293 1509 4.131416838 25 "inc" "non-needy" "right" "male" "helped" 0.00384329464285716
"30" 50 "YES" 42802 245426 41323 1479 4.049281314 25 "inc" "needy" "left" "male" "not-helped" 0.0239413718650794
"31" 51 "YES" 42802 251573 41296 1506 4.123203285 26 "con" "needy" "left" "female" "helped" -0.0123671428571429
"32" 52 "YES" 42802 251574 41291 1511 4.136892539 26 "con" "non-needy" "right" "female" "not-helped" 0.00237354761904761
"33" 53 "YES" 42802 251589 41290 1512 4.13963039 27 "inc" "needy" "right" "female" "not-helped" 0.0173189776785714
"34" 54 "YES" 42802 251587 41185 1617 4.427104723 27 "inc" "non-needy" "left" "female" "helped" 0.0693204369047619
"35" 57 "YES" 42803 246357 41334 1469 4.021902806 29 "inc" "needy" "left" "male" "not-helped" 0.0319101712301587
"36" 58 "YES" 42803 253528 41300 1503 4.114989733 29 "inc" "non-needy" "right" "male" "helped" -0.0287395861904762
"37" 59 "YES" 42803 248615 41255 1548 4.238193018 30 "con" "needy" "right" "female" "helped" -0.0196327976190476
"38" 60 "YES" 42803 248607 41268 1535 4.202600958 30 "con" "non-needy" "left" "female" "not-helped" NA
"39" 63 "YES" 42803 248610 41280 1523 4.169746749 32 "con" "non-needy" "right" "male" "not-helped" 0.0142030912698413
"40" 64 "YES" 42803 248617 41329 1474 4.03559206 32 "con" "needy" "left" "male" "helped" 0.0333894166666667
"41" 65 "YES" 42804 243336 41223 1581 4.328542094 33 "inc" "needy" "right" "female" "not-helped" -0.0168587886904762
"42" 66 "YES" 42804 253790 41165 1639 4.48733744 33 "inc" "non-needy" "left" "female" "helped" -0.0227249702380952
"43" 67 "YES" 42808 251093 41284 1524 4.1724846 34 "con" "needy" "left" "female" "helped" 0.00655101904761905
"44" 68 "YES" 42808 244569 41166 1642 4.495550992 34 "con" "non-needy" "right" "female" "not-helped" 0.00415536204365079
"45" 69 "YES" 42808 247608 41203 1605 4.394250513 35 "inc" "needy" "left" "male" "not-helped" -0.0277950653571429
"46" 70 "YES" 42808 254503 41204 1604 4.391512663 35 "inc" "non-needy" "right" "male" "helped" 0.0511253670864662
"47" 71 "YES" 42808 254505 41281 1527 4.180698152 36 "inc" "non-needy" "left" "male" "helped" -0.0758362276190476
"48" 72 "YES" 42808 247606 41266 1542 4.221765914 36 "inc" "needy" "right" "male" "not-helped" 0.015527544047619
"49" 73 "YES" 42810 244887 41209 1601 4.38329911 37 "inc" "non-needy" "left" "male" "helped" 0.0281613001984127
"50" 74 "YES" 42810 244451 41336 1474 4.03559206 37 "inc" "needy" "right" "male" "not-helped" 0.0113272007142857
"51" 75 "YES" 42810 254034 41197 1613 4.41615332 38 "inc" "non-needy" "right" "female" "helped" 0.0161904543650794
"52" 76 "YES" 42810 248557 41346 1464 4.008213552 38 "inc" "needy" "left" "female" "not-helped" -0.0146352976190476
"53" 77 "YES" 42810 254038 41243 1567 4.290212183 39 "con" "non-needy" "right" "male" "not-helped" -0.00857065476190475
"54" 78 "YES" 42810 243906 41324 1486 4.06844627 39 "con" "needy" "left" "male" "helped" NA
"55" 79 "YES" 42815 243210 41235 1580 4.325804244 40 "con" "non-needy" "right" "male" "not-helped" 0.00322105952380953
"56" 80 "YES" 42815 253786 41286 1529 4.186173854 40 "con" "needy" "left" "male" "helped" 0.00123002480158729
"57" 81 "YES" 42815 253791 41201 1614 4.41889117 41 "inc" "needy" "right" "male" "not-helped" 0.0527801160714286
"58" 82 "YES" 42815 246223 41312 1503 4.114989733 41 "inc" "non-needy" "left" "male" "helped" 0.00544291071428572
"59" 93 "YES" 42886 254653 41335 1551 4.246406571 47 "inc" "needy" "right" "female" "not-helped" -0.00269356702380953
"60" 94 "YES" 42886 251221 41334 1552 4.249144422 47 "inc" "non-needy" "left" "female" "helped" -0.0195168410714286
"61" 95 "YES" 42886 243335 41255 1631 4.465434634 48 "con" "needy" "left" "male" "helped" -0.000292172619047625
"62" 96 "YES" 42886 251216 41412 1474 4.03559206 48 "con" "non-needy" "right" "male" "not-helped" -0.0376834424603174
"63" 97 "YES" 42886 254656 41351 1535 4.202600958 49 "inc" "needy" "right" "female" "not-helped" -0.0123604811507937
"64" 98 "YES" 42886 251191 41403 1483 4.060232717 49 "inc" "non-needy" "left" "female" "helped" -0.00209327380952382
