"Subject.Nr" "In_sample" "Datum" "Subject" "Geb." "Age_days" "Age_years" "Dyad" "Condition" "Need" "Side" "Gender" "helped" "Chest"
"50" 74 "YES" 42810 244451 41336 1474 4.03559206 37 "inc" "needy" "right" "male" "not-helped" 0.018359375
"51" 75 "YES" 42810 254034 41197 1613 4.41615332 38 "inc" "non-needy" "right" "female" "helped" 0.00913083333333334
"52" 76 "YES" 42810 248557 41346 1464 4.008213552 38 "inc" "needy" "left" "female" "not-helped" -0.00980069821428572
"53" 77 "YES" 42810 254038 41243 1567 4.290212183 39 "con" "non-needy" "right" "male" "not-helped" -0.00294362797619048
"54" 78 "YES" 42810 243906 41324 1486 4.06844627 39 "con" "needy" "left" "male" "helped" NA
"55" 79 "YES" 42815 243210 41235 1580 4.325804244 40 "con" "non-needy" "right" "male" "not-helped" 0.0060477380952381
"56" 80 "YES" 42815 253786 41286 1529 4.186173854 40 "con" "needy" "left" "male" "helped" 0.0133636259920635
"57" 81 "YES" 42815 253791 41201 1614 4.41889117 41 "inc" "needy" "right" "male" "not-helped" 0.0827664702380953
"58" 82 "YES" 42815 246223 41312 1503 4.114989733 41 "inc" "non-needy" "left" "male" "helped" -0.00439946428571429
"59" 93 "YES" 42886 254653 41335 1551 4.246406571 47 "inc" "needy" "right" "female" "not-helped" 0.0225347619047619
"60" 94 "YES" 42886 251221 41334 1552 4.249144422 47 "inc" "non-needy" "left" "female" "helped" 0.01374625
"61" 95 "YES" 42886 243335 41255 1631 4.465434634 48 "con" "needy" "left" "male" "helped" 0.00810187142857142
"62" 96 "YES" 42886 251216 41412 1474 4.03559206 48 "con" "non-needy" "right" "male" "not-helped" -0.00940324464285715
"63" 97 "YES" 42886 254656 41351 1535 4.202600958 49 "inc" "needy" "right" "female" "not-helped" 0.0187307926587302
"64" 98 "YES" 42886 251191 41403 1483 4.060232717 49 "inc" "non-needy" "left" "female" "helped" 0.0135142738095238
